"filename", "language", "Properties", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/oyuerdenem/diploma/frontend/src/components/reusable/order-card.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 36
"/Users/oyuerdenem/diploma/frontend/src/components/reusable/order-food-item.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/oyuerdenem/diploma/frontend/src/components/reusable/order-item.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 58
"/Users/oyuerdenem/diploma/frontend/src/components/reusable/order-pay-item.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/oyuerdenem/diploma/frontend/src/components/reusable/order-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 1, 12, 204
"/Users/oyuerdenem/diploma/frontend/src/components/reusable/search-input.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/oyuerdenem/diploma/frontend/src/global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/Users/oyuerdenem/diploma/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"/Users/oyuerdenem/diploma/frontend/src/index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/oyuerdenem/diploma/frontend/src/layout/main-layout/main-layout.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/oyuerdenem/diploma/frontend/src/layout/sidebar/sidebar.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 159
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-dashboard/dashboard-page.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-dashboard/dashboard.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 267
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-login/login.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 137
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-menu/menu-edit/menu-edit.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 150
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-menu/menu-page.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-menu/menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 11, 16, 217
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-order/order-page.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/oyuerdenem/diploma/frontend/src/pages/admin-order/order.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 130
"/Users/oyuerdenem/diploma/frontend/src/pages/client-home/home.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"/Users/oyuerdenem/diploma/frontend/src/pages/client-menu/menu.js", "JavaScript", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 39, 28, 292
"/Users/oyuerdenem/diploma/frontend/src/pages/client-pay/pay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 15, 163
"/Users/oyuerdenem/diploma/frontend/src/reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/oyuerdenem/diploma/frontend/src/services/websocket-service.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"/Users/oyuerdenem/diploma/frontend/src/setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/oyuerdenem/diploma/frontend/src/utils/alert/alert.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/oyuerdenem/diploma/frontend/tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"/Users/oyuerdenem/diploma/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/oyuerdenem/diploma/package-lock.json", "JSON", 0, 0, 5566, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5567
"/Users/oyuerdenem/diploma/package.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 4, 3421, 26203, 8, 38, 20, 20, 461, 371, 190, 390, 680, 31806
